Year,Month,Avg_Daily_Use_mgd,Water_System_name,Ownership,Date
2015,8,32.33,Durham,Municipality,8/1/15
2015,9,30.31,Durham,Municipality,9/1/15
2015,10,25.9,Durham,Municipality,10/1/15
2015,11,23.98,Durham,Municipality,11/1/15
2015,12,24.56,Durham,Municipality,12/1/15
2016,1,24.31,Durham,Municipality,1/1/16
2016,2,25.33,Durham,Municipality,2/1/16
2016,3,26.09,Durham,Municipality,3/1/16
2016,4,27.74,Durham,Municipality,4/1/16
2016,5,25.98,Durham,Municipality,5/1/16
2016,6,29.35,Durham,Municipality,6/1/16
2016,7,30.15,Durham,Municipality,7/1/16
2016,8,32.48,Durham,Municipality,8/1/16
2016,9,32.18,Durham,Municipality,9/1/16
2016,10,29.29,Durham,Municipality,10/1/16
2016,11,27.99,Durham,Municipality,11/1/16
2016,12,25.15,Durham,Municipality,12/1/16
2017,1,25.82,Durham,Municipality,1/1/17
2017,2,28.8,Durham,Municipality,2/1/17
2017,3,28.25,Durham,Municipality,3/1/17
2017,4,27.69,Durham,Municipality,4/1/17
2017,5,28.6,Durham,Municipality,5/1/17
2017,6,29.74,Durham,Municipality,6/1/17
2017,7,31.81,Durham,Municipality,7/1/17
2017,8,32.87,Durham,Municipality,8/1/17
2017,9,32.23,Durham,Municipality,9/1/17
2017,10,29.96,Durham,Municipality,10/1/17
2017,11,26.09,Durham,Municipality,11/1/17
2017,12,24.65,Durham,Municipality,12/1/17
2018,1,26.12,Durham,Municipality,1/1/18
2018,2,28.87,Durham,Municipality,2/1/18
2018,3,29.94,Durham,Municipality,3/1/18
2018,4,25.23,Durham,Municipality,4/1/18
2018,5,27.7,Durham,Municipality,5/1/18
2018,6,28.9,Durham,Municipality,6/1/18
2018,7,24.25,Durham,Municipality,7/1/18
2018,8,32,Durham,Municipality,8/1/18
2018,9,26.14,Durham,Municipality,9/1/18
2018,10,25.54,Durham,Municipality,10/1/18
2018,11,30.73,Durham,Municipality,11/1/18
2018,12,23.92,Durham,Municipality,12/1/18
2019,1,24.64,Durham,Municipality,1/1/19
2019,2,30.91,Durham,Municipality,2/1/19
2019,3,33.72,Durham,Municipality,3/1/19
2019,4,26.31,Durham,Municipality,4/1/19
2019,5,31.17,Durham,Municipality,5/1/19
2019,6,31.3,Durham,Municipality,6/1/19
2019,7,29.43,Durham,Municipality,7/1/19
2019,8,35.06,Durham,Municipality,8/1/19
2019,9,26.72,Durham,Municipality,9/1/19
2019,10,27.28,Durham,Municipality,10/1/19
2019,11,34.67,Durham,Municipality,11/1/19
2019,12,23.83,Durham,Municipality,12/1/19
2020,1,23.97,Durham,Municipality,1/1/20
2020,2,27.07,Durham,Municipality,2/1/20
2020,3,29.78,Durham,Municipality,3/1/20
2020,4,25.58,Durham,Municipality,4/1/20
2020,5,30.26,Durham,Municipality,5/1/20
2020,6,27.44,Durham,Municipality,6/1/20
2020,7,25.56,Durham,Municipality,7/1/20
2020,8,32.76,Durham,Municipality,8/1/20
2020,9,25.03,Durham,Municipality,9/1/20
2020,10,26.19,Durham,Municipality,10/1/20
2020,11,30.96,Durham,Municipality,11/1/20
2020,12,23.9,Durham,Municipality,12/1/20
2021,1,24.49,Durham,Municipality,1/1/21
2021,2,30.41,Durham,Municipality,2/1/21
2021,3,32.62,Durham,Municipality,3/1/21
2021,4,24.7,Durham,Municipality,4/1/21
2021,5,30.94,Durham,Municipality,5/1/21
2021,6,31.36,Durham,Municipality,6/1/21
2021,7,26.54,Durham,Municipality,7/1/21
2021,8,32.11,Durham,Municipality,8/1/21
2021,9,28.46,Durham,Municipality,9/1/21
2021,10,27.4,Durham,Municipality,10/1/21
2021,11,33.81,Durham,Municipality,11/1/21
2021,12,25.35,Durham,Municipality,12/1/21
